gn_id,gn_gnc,gn_gnname,gn_mbile,gn_email,gn_dvcode,gn_version,gn_is_deleted,gn_created_at,gn_updated_at,gn_created_by,gn_updated_by,gn_version_number
29,1-1-03-145,කෙසෙල්වත්ත / Keselwatta / வாழைத்‍தோட்டம் (கெசெல்வத்த),,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
30,1-1-03-150,පංචිකාවත්ත / Panchikawatta / பஞ்சிக்காவத்தை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
31,1-1-03-155,මාලිගාවත්ත බටහිර / Maligawatta West / மாளிகாவத்தை ‍மேற்கு,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
32,1-1-03-160,මාලිගාකන්ද / Maligakanda / மாளிகாகந்தை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
33,1-1-03-165,මරදාන / Maradana / மரதானை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
34,1-1-03-170,ඉබ්බන්වල / Ibbanwala / இப்பங்‎வெலை,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
35,1-1-03-175,වෑකන්ද / Wekanda / வேகந்த,,,DS0001,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
36,1-1-06-005,වදුල්ල / Wadulla / வதுல்ல,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
37,1-1-06-010,සේදවත්ත / Sedawatta / சேதவத்த,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
38,1-1-06-015,හල්මුල්ල / Halmulla / ஹல்முல்ல,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
39,1-1-06-020,කොටුවිල / Kotuvila / கொட்டுவில,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
40,1-1-06-025,වෙහෙරගොඩ / Veheragoda / ‎வெஹர‎கொட,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
41,1-1-06-030,ඔරුගොඩවත්ත / Orugodawatta / ஒறு‎கொடவத்த,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
42,1-1-06-035,මිතොටමුල්ල / Meethotamulla / மீ‎தொட்டமுல்ல,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
43,1-1-06-040,වෙලේවත්ත / Welewaththa / ‍‍‍வெ‍‍லேவத்த,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
44,1-1-06-045,කිත්තම්පහුව / Kiththampahuwa / கித்தும்பஹுவ,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
45,1-1-06-050,වෙන්නවත්ත / Wennawatta / ‎வென்னவத்த,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
46,1-1-06-055,මහබුත්ගමුව බී / Mahabuthgamuwa B / மஹ புத்கமுவ B,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
47,1-1-06-060,කුඩා බුත්ගමුව / Kuda Buthgamuwa / குடா புத்கமுவ,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
48,1-1-06-065,කැලණිමුල්ල / Kelanimulla / ‎‎கெளணிமுல்ல,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
49,1-1-06-070,අඔත‍ලේ / Ambathale / அம்பத்தலே,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
50,1-1-06-075,මුල්ලේරියාව  උතුර / Mulleriyawa North / முல்லேரியாவ வடக்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
51,1-1-06-080,බැලගම / Belagama / ‍‍பெ‍லேகம   வீிதி,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
52,1-1-06-085,කොටිකාවත්ත  නැගෙනහිර / Kotikawatta East / ‎கொட்டிகாவத்தை கிழக்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
53,1-1-06-090,මහ බුත්ගමුව ඒ / Maha Buthgamuwa A / மஹ புத்கமுவ‍ A,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
54,1-1-06-095,මහ බුත්ගමුව සී / Maha Buthgamuwa C / மஹ புத்கமுவ‍ C,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
55,1-1-06-100,වැල්ලමිපිටිය / Wellampitiya / ‎வெல்லம்பிட்டிய,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
56,1-1-06-105,කුරුණියාවත්ත / Kuriniyawatta / குரினியாவத்‍தை,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
57,1-1-06-110,කොළොන්නාව / Kolonnawa / ‎கொ‎லண்ணா‍வை,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
58,1-1-06-115,දහම්පුර / Dahampura / தஹம்பு‍ரை,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
59,1-1-06-120,සිංහපුර / Singhapura / சிங்கபு‍ரை,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
60,1-1-06-125,මෙගොඩ කොලොන්නාව / Megoda Kolonnawa / ‎மெகொட ‎கொ‎லொண்ணா‍வ,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
61,1-1-06-130,බෝපැත්ත / Bopeththa / ‍‎‍போ‎பெத்த,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
62,1-1-06-135,බටලන්ද‍හේන / Batalandahena / பட்டலந்த‍‍‍ஹேண,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
63,1-1-06-140,කොටිකාවත්ත බටහිර / Kotikawatta West / ‎கொட்டிக்காவத்‍தை ‍மேற்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
64,1-1-06-145,මුල්ලේරියාව  දකුණ / Mulleriyawa South / முள்‍ளேரியா‍வை ‎தெற்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
65,1-1-06-150,මල්ගම / Malgama / மல்கம,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
66,1-1-06-155,උඩුමුල්ල  උතුර / Udumulla North / உடுமுல்ல வடக்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
67,1-1-06-160,මාළිගාගොඩැල්ල / Maligagodella / மாலிகா‎கொ‎டெல்ல,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
68,1-1-06-165,රාජසිංහගම / Rajasinghagama / ராஜசிங்ககம,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
69,1-1-06-170,උඩුමුල්ල   දකුණ / Udumulla South / உடுமுள்ள ‎தெற்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
70,1-1-06-175,හිඹුටාන   නැගෙනහිර / Himbutana East / ஹிம்புட்டாண கிழக்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
71,1-1-06-180,හිඹුටාන   බටහිර / Himbutana West / ஹிம்புட்டாண ‍மேற்கு,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
72,1-1-06-185,මල්පුර / Malpura / மல்புர,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
73,1-1-06-190,ගොතටුව නව නගරය / Gothatuwa New Town / ‎கொத்தட்டுவ புது நகரம்,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
74,1-1-06-195,කජුගහවත්ත / Kajugahawatta / கஜுகஹவத்த,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
75,1-1-06-200,ගොතටුව / Gothatuwa / ‎கொத்தட்டுவ,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
76,1-1-06-205,සාලමුල්ල / Salamulla / சாலமுல்ல,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
77,1-1-06-210,විජයපුර / Wijayapura / விஜயபுர,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
78,1-1-06-215,ගජබාපුර / Gajabapura / கஜபாபுர,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
79,1-1-06-220,මාදින්නාගොඩ / Madinnagoda / மாதிண்ண‎கொட,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
80,1-1-06-225,ඇල්හේන / Elhena / எல்ஹேண,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
81,1-1-06-230,දොඩමිගහහේන / Dodamgahahena / ‎தொடம்கஹ்ஹே‍ண,,,DS0002,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
82,1-1-09-005,වැලිවිට / Welivita / ‎வெலிவிட்ட,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
83,1-1-09-010,රග්ගහවත්ත / Raggahawatta / ரக்கஹவத்த,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
84,1-1-09-015,හේවාගම / Hewagama / ‍‍‍‎‍ஹேவாகம,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
85,1-1-09-020,කඩුවෙල / Kaduwela / கடு‎வெ‍ல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
86,1-1-09-025,පහළ බෝමිරිය / Pahala Bomiriya / பஹள ‍‎‍போமிரிய,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
87,1-1-09-030,ඉහළ බෝමිරිය / Ihala Bomiriya / இஹள ‍போமிரிய,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
88,1-1-09-035,වැකේවත්ත / Wekewatta / ‍‎‍வே‎கெவிட்ட,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
89,1-1-09-040,නවගමුව / Nawagamuwa / நவகமுவ,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
90,1-1-09-045,පහළ බෝමිරිය බී / Pahala Bomiriya B / கீழ்  ‍‎‍போமிரிய B,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
91,1-1-09-050,වැලිහිඳ / Welihinda / ‎வெலிகின்ன,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
92,1-1-09-055,කොතලාවල / Kothalawala / ‎கொத்தலாவல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
93,1-1-09-060,මහදෙනිය / Mahadeniya / மஹ‎தெணிய,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
94,1-1-09-065,තලාහේන  උතුර / Thalahena North / தலஹேண வடக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
95,1-1-09-070,මාළ‍‍ෙඔ  උතුර / Malabe North / மால‍பே வடக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
96,1-1-09-075,තුන්අදහේන / Thunadahena / துணடஹேண,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
97,1-1-09-080,කොරතොට / Korathota / ‎கொர‎‎தொட்ட,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
98,1-1-09-085,නවගමුව දකුණ / Nawagamuwa South / நவகமுவ ‎தெற்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
99,1-1-09-090,බටේ‍වෙල / Batewela / ப‍‍ட்டே‎வெல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
100,1-1-09-095,රණාල / Ranala / ரணால,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
101,1-1-09-100,දැඩිගමුව / Dedigamuwa / ‎தெடிகமுவ,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
102,1-1-09-105,ඇඔල්ලදෙණිය / Embilladeniya / எம்பில்லா‎தெணிய,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
103,1-1-09-110,වැලිපිල්ලැව / Welipillewa / ‎‎வெலிபில்‍லேவ,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
104,1-1-09-115,ශාන්තාලෝකගම / Shanthalokagama / சாந்தா‍லோககம,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
105,1-1-09-120,පෝරේ / Pore / ‍‍‍‍‍‍‎‍போ‍ரே,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
106,1-1-09-125,මාලබේ නැගෙනහිර / Malabe East / மால‍‍‍பே கிழக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
107,1-1-09-130,මාල‍බේ බටහිර / Malabe West / மால‍‍‍பே ‍மேற்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
108,1-1-09-135,තලංගම උතුර බී / Thalangama North B / தலங்கம வடக்கு B,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
109,1-1-09-140,තලාහේන  දකුණ / Thalahena South / தலா‍ஹேண வடக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
110,1-1-09-145,මුත්තෙට්ටුගොඩ / Muttettugoda / முத்‎தெடு‎‎கொட,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
111,1-1-09-150,තලංගම උතුර ඒ / Thalangama North A / தலங்கம வடக்கு A,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
112,1-1-09-155,වල්පොල / Walpola / வல்‎பொல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
113,1-1-09-160,කළපලුවාව / Kalapaluwawa / கலபாலு‎வெவ,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
114,1-1-09-165,කොටුවේගොඩ / Kotuwegoda / ‎‎கொட்டு‍வே‎கொட,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
115,1-1-09-170,සුභූතිපුර / Subhoothipura / சு‍பூதிபுர,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
116,1-1-09-175,උඩුමුල්ල / Udumulla / உடுமுல்ல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
117,1-1-09-180,බත්තරමුල්ල උතුර / Battaramulla North / பத்தரமுல்ல வடக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
118,1-1-09-185,බටපොත / Batapotha / பட்ட‎பொத,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
119,1-1-09-190,පොතුඅරාව / Pothuarawa / ‎பொதுஅராவ,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
120,1-1-09-195,හෝකන්දර   උතුර / Hokandara North / ‍‍‍‍‍‎‍ஹோகந்தர வடக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
121,1-1-09-200,ඔරුවල / Oruwala / ஒருவல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
122,1-1-09-205,අතුරුගිරිය / Athurugiriya / அத்துருகிரிய,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
123,1-1-09-210,තල්දියවල / Thaldiyawala / தல்டியவல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
124,1-1-09-215,බොරලුගොඩ / Boralugoda / ‎பொரலு‎கொட,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
125,1-1-09-220,හෝකන්දර නැගෙනහිර / Hokandara East / ‍‍‎‍ஹோகந்தர கிழக்கு,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
126,1-1-09-225,අරංගල / Arangala / அரங்கல,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
127,1-1-09-230,ඇවරිහේන / Evarihena / எவரி‍ஹேண,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
128,1-1-09-235,කුමාරගේ වත්ත / Kumaragewatta / குமார‍கேவத்த,,,DS0003,2025-11-17 05:30:13.511594,False,2025-11-17 05:30:13.511594,2025-11-17 05:30:13.511594,system,system,1
